"state","month","year","generation_mu"
"Andhra Pradesh","January","2025","714.507"
"Arunachal Pradesh","January","2025","0.124"
"Assam","January","2025","24.84"
"Bihar","January","2025","26.0657"
"Chhattisgarh","January","2025","128.633482"
"Dadra and Nagar Haveli and Daman and Diu","January","2025","1.36717"
"Delhi","January","2025","17.211"
"Goa","January","2025","4.759"
"Gujarat","January","2025","1822.788"
"Haryana","January","2025","122.22"
"Himachal Pradesh","January","2025","8.33"
"Jammu & Kashmir","January","2025","0"
"Jharkhand","January","2025","1.47"
"Karnataka","January","2025","1455.989"
"Kerala","January","2025","157.2321"
"Ladakh","January","2025","0"
"Madhya Pradesh","January","2025","736.021"
"Maharashtra","January","2025","778.09"
"Manipur","January","2025","0.742"
"Meghalaya","January","2025","0"
"Mizoram","January","2025","2.884"
"Nagaland","January","2025","0"
"Puducherry","January","2025","1.02"
"Punjab","January","2025","90.25"
"Rajasthan","January","2025","3853.99746"
"Sikkim","January","2025","0"
"Tamil Nadu","January","2025","1223.505"
"Telangana","January","2025","642.892"
"Tripura","January","2025","0.486846"
"Uttar Pradesh","January","2025","353.795"
"Uttarakhand","January","2025","27.65"
"West Bengal","January","2025","30.55151"
"??????? ??? ???????/ Andaman & Nicobar","January","2025","1.71"
"?????/ Odisha","January","2025","56.203"
"??????/ Chandigarh","January","2025","0.4"
"????????? /Lakshadweep","January","2025","0.007643"
"Andhra Pradesh","February","2025","758.40556"
"Arunachal Pradesh","February","2025","0.124"
"Assam","February","2025","23.62"
"Bihar","February","2025","26.0657"
"Chhattisgarh","February","2025","154.077833"
"Dadra and Nagar Haveli and Daman and Diu","February","2025","1.582372"
"Delhi","February","2025","17.211"
"Goa","February","2025","4.759"
"Gujarat","February","2025","1745.899"
"Haryana","February","2025","122.22"
"Himachal Pradesh","February","2025","12.98"
"Jammu & Kashmir","February","2025","0"
"Jharkhand","February","2025","1.47"
"Karnataka","February","2025","1494.585176"
"Kerala","February","2025","168.1021"
"Ladakh","February","2025","0"
"Madhya Pradesh","February","2025","795.185"
"Maharashtra","February","2025","782.37"
"Manipur","February","2025","0.742"
"Meghalaya","February","2025","0"
"Mizoram","February","2025","2.884"
"Nagaland","February","2025","0"
"Puducherry","February","2025","1.02"
"Punjab","February","2025","109.21"
"Rajasthan","February","2025","3769.237112"
"Sikkim","February","2025","0"
"Tamil Nadu","February","2025","1705.456609"
"Telangana","February","2025","633.448928"
"Tripura","February","2025","0.486471"
"Uttar Pradesh","February","2025","447.37"
"Uttarakhand","February","2025","27.65"
"West Bengal","February","2025","32.813969"
"??????? ??? ???????/ Andaman & Nicobar","February","2025","1.92"
"?????/ Odisha","February","2025","72.273"
"??????/ Chandigarh","February","2025","0.4"
"????????? /Lakshadweep","February","2025","0.007643"
"Andhra Pradesh","March","2025","851.2"
"Arunachal Pradesh","March","2025","0.169"
"Assam","March","2025","27.99"
"Bihar","March","2025","35.097593"
"Chhattisgarh","March","2025","155.007833"
"Dadra and Nagar Haveli and Daman and Diu","March","2025","1.582372"
"Delhi","March","2025","17.211"
"Goa","March","2025","4.759"
"Gujarat","March","2025","3245.595"
"Haryana","March","2025","122.22"
"Himachal Pradesh","March","2025","16.39"
"Jammu & Kashmir","March","2025","0"
"Jharkhand","March","2025","1.47"
"Karnataka","March","2025","1636.038"
"Kerala","March","2025","179.9379"
"Ladakh","March","2025","0"
"Madhya Pradesh","March","2025","888.455"
"Maharashtra","March","2025","899.3"
"Manipur","March","2025","0.742"
"Meghalaya","March","2025","0"
"Mizoram","March","2025","2.884"
"Nagaland","March","2025","0"
"Puducherry","March","2025","1.02"
"Punjab","March","2025","142.3"
"Rajasthan","March","2025","5529.163032"
"Sikkim","March","2025","0"
"Tamil Nadu","March","2025","1603.082"
"Telangana","March","2025","722.901"
"Tripura","March","2025","0.608568"
"Uttar Pradesh","March","2025","564.831"
"Uttarakhand","March","2025","27.65"
"West Bengal","March","2025","43.190355"
"??????? ??? ???????/ Andaman & Nicobar","March","2025","2.83488"
"?????/ Odisha","March","2025","87.341"
"??????/ Chandigarh","March","2025","0.4"
"????????? /Lakshadweep","March","2025","0.007643"
"Andhra Pradesh","April","2025","826.88"
"Arunachal Pradesh","April","2025","0.21263"
"Assam","April","2025","25.034"
"Bihar","April","2025","31.038246"
"Chhattisgarh","April","2025","163.865438"
"Dadra and Nagar Haveli and Daman and Diu","April","2025","1.582372"
"Delhi","April","2025","17.211"
"Goa","April","2025","4.759"
"Gujarat","April","2025","2371.727"
"Haryana","April","2025","122.22"
"Himachal Pradesh","April","2025","20.88"
"Jammu & Kashmir","April","2025","0"
"Jharkhand","April","2025","1.47"
"Karnataka","April","2025","1542.56"
"Kerala","April","2025","195.6708"
"Ladakh","April","2025","0"
"Madhya Pradesh","April","2025","913.33"
"Maharashtra","April","2025","834.9"
"Manipur","April","2025","0.742"
"Meghalaya","April","2025","0"
"Mizoram","April","2025","2.884"
"Nagaland","April","2025","0"
"Puducherry","April","2025","1.02"
"Punjab","April","2025","139.89"
"Rajasthan","April","2025","5687.918641"
"Sikkim","April","2025","0"
"Tamil Nadu","April","2025","1571.113"
"Telangana","April","2025","648.277"
"Tripura","April","2025","0.5791"
"Uttar Pradesh","April","2025","528.981"
"Uttarakhand","April","2025","27.65"
"West Bengal","April","2025","43.574978"
"??????? ??? ???????/ Andaman & Nicobar","April","2025","1.525023"
"?????/ Odisha","April","2025","83.92"
"??????/ Chandigarh","April","2025","0.4"
"????????? /Lakshadweep","April","2025","0.007643"
"Andhra Pradesh","May","2025","689.571"
"Arunachal Pradesh","May","2025","0.938"
"Assam","May","2025","22.659"
"Bihar","May","2025","32.041491"
"Chhattisgarh","May","2025","152.917362"
"Dadra and Nagar Haveli and Daman and Diu","May","2025","1.690492"
"Delhi","May","2025","17.211"
"Goa","May","2025","4.759"
"Gujarat","May","2025","1995.335"
"Haryana","May","2025","118.98"
"Himachal Pradesh","May","2025","21.35"
"Jammu & Kashmir","May","2025","0"
"Jharkhand","May","2025","1.47"
"Karnataka","May","2025","1365.685"
"Kerala","May","2025","190.3937"
"Ladakh","May","2025","0"
"Madhya Pradesh","May","2025","596.436"
"Maharashtra","May","2025","741.52"
"Manipur","May","2025","0.714"
"Meghalaya","May","2025","0"
"Mizoram","May","2025","1.921"
"Nagaland","May","2025","0"
"Puducherry","May","2025","1.02"
"Punjab","May","2025","142.981018"
"Rajasthan","May","2025","5351.6772"
"Sikkim","May","2025","0"
"Tamil Nadu","May","2025","1557.843"
"Telangana","May","2025","622.019"
"Tripura","May","2025","3.216"
"Uttar Pradesh","May","2025","516.552"
"Uttarakhand","May","2025","27.65"
"West Bengal","May","2025","40.31"
"??????? ??? ???????/ Andaman & Nicobar","May","2025","1.33"
"?????/ Odisha","May","2025","84.46"
"??????/ Chandigarh","May","2025","0.66"
"????????? /Lakshadweep","May","2025","0.007643"
"Andhra Pradesh","June","2025","689.15"
"Arunachal Pradesh","June","2025","0.171099"
"Assam","June","2025","25.222"
"Bihar","June","2025","25.875801"
"Chhattisgarh","June","2025","139.960922"
"Dadra and Nagar Haveli and Daman and Diu","June","2025","1.690492"
"Delhi","June","2025","17.211"
"Goa","June","2025","4.759"
"Gujarat","June","2025","1559.775"
"Haryana","June","2025","118.98"
"Himachal Pradesh","June","2025","19.89"
"Jammu & Kashmir","June","2025","0"
"Jharkhand","June","2025","1.47"
"Karnataka","June","2025","1191.493"
"Kerala","June","2025","164.2009"
"Ladakh","June","2025","0"
"Madhya Pradesh","June","2025","556.487"
"Maharashtra","June","2025","701.79"
"Manipur","June","2025","0.714"
"Meghalaya","June","2025","0"
"Mizoram","June","2025","3.333768"
"Nagaland","June","2025","0"
"Puducherry","June","2025","1.02"
"Punjab","June","2025","121.144598"
"Rajasthan","June","2025","4875.692831"
"Sikkim","June","2025","0"
"Tamil Nadu","June","2025","1590.65"
"Telangana","June","2025","558.987"
"Tripura","June","2025","0.3906"
"Uttar Pradesh","June","2025","431.287"
"Uttarakhand","June","2025","27.65"
"West Bengal","June","2025","32.165"
"??????? ??? ???????/ Andaman & Nicobar","June","2025","1"
"?????/ Odisha","June","2025","64.65"
"??????/ Chandigarh","June","2025","0.66"
"????????? /Lakshadweep","June","2025","0.007643"
"Andhra Pradesh","July","2025","596.25"
"Arunachal Pradesh","July","2025","0.148"
"Assam","July","2025","27.537"
"Bihar","July","2025","20.925"
"Chhattisgarh","July","2025","91.902883"
"Dadra and Nagar Haveli and Daman and Diu","July","2025","1.690492"
